 SEC PL Code , B310E , B313E , B350E , J106H , J200H , J210F , G532G , J210FZ , J500H , G600F , J700H , J710F , G610F , A510F , A710F , A720F , C900F , G935F , G950F , G955F , T116N , T285Y , T561N 
PL1234,140,25,23,11,120,11,51,85,5,20,42,34,54,5,4,3,4,1,1,6,3,1,1
PL1294,28,3,5,3,6,0,6,7,1,1,3,2,1,0,0,0,0,0,1,0,0,0,0
PL947,38,10,5,8,85,4,45,41,2,8,21,15,10,2,1,1,2,0,0,1,1,0,0
PL1222,20,0,2,3,13,1,10,7,1,6,7,3,1,0,0,0,0,0,0,0,0,0,0
PL1211,57,11,6,10,95,3,35,30,2,21,37,18,44,2,3,3,3,0,2,2,3,1,1
PL1126,74,14,13,4,20,2,12,19,2,9,8,8,9,2,3,0,3,0,1,2,1,1,1
PL838,86,14,17,13,44,4,20,20,2,5,30,16,16,2,2,2,2,0,0,0,1,1,1
PL1285,29,4,7,5,49,1,20,15,1,4,18,4,8,1,0,0,0,0,0,0,0,0,0
PL1264,40,8,3,4,100,2,35,60,2,8,7,5,6,3,0,0,0,0,0,1,1,0,0
PL646,179,44,61,26,90,13,50,72,3,41,72,37,70,5,6,5,3,1,5,9,4,1,2
PL565,112,29,27,10,15,7,15,10,2,21,36,14,20,2,2,1,1,1,1,2,2,1,2
PL586,77,14,19,17,141,5,72,74,6,32,42,35,27,3,1,2,2,0,0,5,2,1,1
PL471,13,1,7,4,55,6,65,57,3,39,77,43,93,3,10,2,1,1,2,7,1,2,1
PL1147,12,1,7,4,55,6,64,58,2,39,78,42,92,4,9,2,2,0,2,8,1,1,2
XLSE1297,14,15,3,0,35,0,3,25,1,3,9,1,1,0,0,0,0,0,0,0,0,0,0
PL686,87,9,9,10,92,3,36,26,2,14,47,21,30,2,2,1,2,0,1,0,2,1,1
PL451,31,4,4,4,55,4,32,38,2,12,10,5,32,0,0,0,0,0,0,2,0,0,0
PL1266,18,5,5,3,31,3,19,16,2,10,36,13,26,3,7,2,1,0,2,8,1,1,1
XLSE1319,17,6,5,2,32,2,19,15,2,10,36,12,27,3,6,2,0,1,1,7,2,0,2
PL1123,85,11,33,11,64,5,30,50,2,15,50,40,56,9,7,4,3,1,1,9,4,1,2
PL228,46,10,16,6,70,4,35,47,1,17,29,20,25,3,2,2,0,0,0,2,1,0,0
PL1199,150,15,29,21,119,9,120,69,6,49,127,57,54,4,4,4,2,0,1,2,2,1,1
PL772,80,10,20,6,40,2,30,30,2,22,25,20,25,2,1,1,1,0,0,3,0,1,1
PL657,16,5,6,7,25,2,27,18,1,5,4,3,13,0,0,0,1,0,0,0,0,1,0
PL1251,66,6,10,18,99,4,50,24,2,17,25,14,12,0,0,0,0,0,0,0,0,0,1
PL401,85,14,21,11,80,10,55,60,4,28,88,50,61,3,2,5,2,1,0,2,1,2,2
PL1202,8,2,4,5,10,0,3,2,1,1,5,3,16,0,0,0,1,0,1,1,0,0,0
PL510,45,8,11,7,130,7,90,65,4,15,87,27,27,3,3,0,1,1,1,0,1,0,1
PL872,19,4,5,3,18,1,16,13,1,5,16,7,16,0,0,0,0,0,0,0,0,0,0
PL1281,38,5,14,5,20,2,12,25,1,7,20,19,17,2,2,2,2,0,0,4,2,0,1
PL441,95,6,16,14,124,6,100,65,6,43,95,40,54,5,4,4,4,0,1,5,2,1,2
PL1113,82,10,10,16,99,6,85,100,5,40,76,51,60,7,1,3,2,0,1,1,2,1,2
PL1138,29,0,0,4,16,1,5,7,1,4,8,4,9,0,0,0,1,0,0,0,1,0,0
PL1221,62,6,13,5,30,1,36,20,2,3,17,6,10,2,1,1,1,0,0,0,1,0,0
PL656,25,4,13,5,60,3,36,30,4,15,33,25,23,3,1,2,3,0,0,1,1,0,1
XLSE1303,22,8,5,3,40,3,21,67,2,7,13,14,14,2,4,0,2,0,0,1,2,1,1
PL1233,73,15,14,7,65,3,23,18,2,11,23,10,11,1,1,1,0,0,0,1,2,1,1
PL1214,55,12,5,8,59,3,32,18,2,5,16,7,4,1,1,0,0,0,0,1,1,0,0
PL1107,84,8,8,8,85,5,61,25,2,9,32,30,28,2,1,0,3,0,3,5,2,1,1
PL1247,24,6,5,3,65,2,30,30,1,5,25,7,14,2,1,0,0,0,0,0,1,0,0
PL1262,98,16,31,18,42,3,32,35,2,14,26,11,16,1,1,0,1,0,1,2,0,0,0
XLSE1301,0,0,0,0,11,5,9,4,1,4,7,5,25,3,2,3,2,0,6,14,1,2,3
PL1263,0,0,0,0,5,1,5,10,5,3,6,5,20,3,2,1,1,0,4,10,1,1,2
Pl1252,0,0,0,0,5,1,6,8,0,3,6,5,25,0,0,3,5,0,3,9,0,1,1
PL1015,0,0,0,1,18,0,14,11,1,8,12,15,18,4,3,4,2,1,6,23,2,0,2
PL758,0,0,0,0,3,0,5,9,0,5,3,6,21,0,1,3,2,0,1,5,2,0,0
PL1258,0,0,0,0,4,1,8,3,1,1,7,8,21,0,0,0,2,0,2,6,1,1,1
PL642,65,6,12,8,32,2,14,9,1,12,11,11,16,2,0,0,1,0,2,1,0,0,0
PL717,40,5,7,4,40,1,18,17,2,10,12,10,8,0,0,0,1,0,0,1,1,0,0
XLSE1309,0,0,0,4,16,3,16,10,2,7,10,5,5,1,0,1,0,0,0,0,0,0,0
PL579,70,17,17,7,147,7,88,112,3,20,66,19,30,2,2,1,1,0,1,3,1,0,1
PL1162,70,16,18,7,147,7,87,113,3,20,65,19,29,3,1,1,1,0,1,3,1,1,1
PL405,25,0,0,5,50,2,35,25,3,22,42,25,55,2,4,2,1,1,0,2,2,1,3
PL997,36,13,10,1,91,2,54,43,2,18,38,8,17,2,1,1,4,0,1,2,0,1,0
PL1213,35,14,10,0,91,2,54,42,3,17,38,9,16,3,1,1,3,0,1,3,0,0,1
PL1193,58,4,3,4,40,1,10,16,1,1,11,7,1,0,0,0,0,0,0,0,0,0,0
PL876,82,7,3,5,67,4,47,17,3,10,21,10,10,0,0,0,0,0,0,1,0,1,0
PL189,122,26,40,11,100,4,90,45,3,23,74,32,40,3,2,4,2,1,1,3,2,1,0
PL1244,36,8,7,1,76,8,88,39,6,12,45,20,25,3,1,4,3,0,2,2,2,0,0
PL1110,82,17,13,6,75,8,62,66,7,36,45,18,25,4,2,1,2,0,1,5,2,1,2
PL1103,84,16,21,6,33,3,20,20,2,17,18,10,16,2,1,0,1,0,0,1,0,0,1
PL1235,0,0,0,0,19,3,18,13,2,7,11,5,7,0,0,0,0,0,0,0,1,0,0
PL873,43,9,5,5,56,3,26,24,3,6,19,13,13,1,0,0,1,0,0,1,1,0,0
PL1257,28,10,12,12,111,5,55,36,4,13,40,14,20,1,1,0,0,0,0,1,1,0,0
PL1259,8,2,5,3,10,1,11,16,1,9,11,10,6,0,0,2,2,1,0,2,0,0,0
PL1286,30,5,5,3,30,0,17,8,1,1,28,55,10,4,0,0,0,0,0,1,0,0,0
PL1173,30,8,6,6,46,3,35,44,3,14,25,11,12,2,2,0,0,0,0,3,1,1,0
XLSE1300,4,2,0,3,5,1,3,12,1,3,9,10,12,1,1,0,0,0,0,0,0,0,0
PL1273,65,16,14,17,131,4,85,71,3,31,59,17,48,2,2,2,0,0,0,0,2,0,0
PL1272,48,18,9,8,62,1,29,16,2,7,21,7,3,1,0,0,0,0,0,0,1,0,0
PL1143,58,6,15,17,59,3,30,21,3,9,30,13,16,3,0,3,2,0,0,1,2,0,1
PL1191,33,6,5,3,27,1,13,21,1,4,14,7,8,4,0,0,0,0,2,0,0,0,1
PL684,24,7,3,5,26,1,14,16,1,6,11,3,6,0,0,0,1,0,0,1,1,0,0
PL1287,22,8,4,13,55,1,20,40,3,15,24,10,16,3,2,2,0,0,1,3,0,0,0
PL1284,32,11,13,5,35,2,12,32,1,15,20,7,3,2,1,0,0,0,1,1,0,0,0
PL745,43,8,17,10,32,6,24,32,2,18,34,17,53,4,8,11,2,1,2,7,2,2,1
PL1241,100,24,12,11,95,3,53,25,3,15,26,12,30,3,1,0,2,0,0,1,2,1,1
PL896,33,7,8,1,37,2,23,47,2,13,18,15,12,2,2,4,1,0,2,1,0,0,2
PL1104,12,0,0,5,130,12,68,80,5,23,111,36,62,7,18,4,16,1,4,7,2,1,3
PL774,55,14,9,8,123,6,84,68,5,14,46,22,35,0,1,0,0,0,0,2,1,1,0
PL1165,90,19,27,7,26,6,12,13,3,26,50,36,43,6,5,3,2,1,1,2,3,1,1
PL1270,80,15,10,11,90,3,52,29,2,12,31,13,18,2,0,0,0,0,0,0,0,0,0
PL1260,10,3,1,2,16,2,9,10,1,3,3,2,4,0,0,0,0,0,0,0,0,0,0
PL719,73,15,12,3,126,6,66,68,2,14,52,14,30,2,2,2,1,0,0,2,3,1,1
XLSE1314,10,6,8,1,15,2,12,13,2,10,10,7,10,1,0,1,1,0,0,1,1,0,0
PL713,230,47,33,19,150,12,65,15,6,30,65,30,59,5,4,2,2,0,1,3,3,1,2
PL412,86,15,19,10,79,2,34,20,2,11,49,26,30,2,3,1,2,0,0,1,2,1,1
PL1144,86,14,19,10,80,3,34,20,3,11,48,27,29,3,2,0,1,1,0,1,1,1,2
XLSE1299,31,11,5,3,23,2,18,8,1,5,8,7,6,1,0,4,1,0,1,1,0,0,0
PL829,48,4,2,5,75,3,40,20,3,8,28,14,15,3,3,4,2,0,0,0,1,0,1
PL919,36,2,3,10,50,3,37,12,1,6,7,4,12,0,1,0,1,0,0,1,1,0,0
XLSE1317,10,0,0,1,7,1,5,4,1,1,6,4,4,0,0,0,0,0,0,0,0,0,0
XLSE1310,36,11,8,5,71,2,27,20,2,7,15,5,9,1,0,0,0,0,0,1,1,0,0
PL724,25,6,4,4,73,4,48,35,3,11,33,18,17,3,2,1,2,0,0,2,1,0,0
PL1172,35,4,4,3,36,1,16,7,1,5,19,7,16,0,0,0,3,0,0,1,2,1,0
PL201,81,7,10,10,70,5,35,18,3,8,25,15,16,2,0,0,2,0,1,1,3,1,1
PL1215,57,3,5,10,50,2,25,40,2,6,25,17,18,2,1,0,1,0,1,1,1,0,1
PL454,35,5,4,7,76,7,41,31,3,14,39,23,25,1,1,1,2,0,1,2,1,0,1
XLSE1316,0,8,0,0,31,2,20,25,2,7,10,6,5,0,0,0,0,0,0,0,0,0,0
PL598,67,17,9,15,95,3,36,17,3,8,46,23,17,2,0,0,2,0,0,1,1,1,1
PL133,67,16,10,15,94,4,35,18,2,9,45,24,17,1,1,0,1,0,0,1,2,0,1
PL1153,15,0,3,5,40,1,18,11,1,5,9,8,1,2,0,0,1,0,1,0,2,0,0
PL613,72,12,13,10,115,9,80,62,6,9,90,46,49,3,12,7,4,0,1,7,4,1,1
PL849,55,14,7,4,66,7,67,106,3,23,35,26,20,1,1,2,1,0,1,1,1,0,1
PL777,70,8,10,9,53,2,40,40,3,24,42,24,50,5,4,4,2,0,1,3,3,1,3
PL691,38,8,8,3,128,4,43,27,4,16,51,30,33,3,2.5,1,3,1,1,10,1,1,0
XLSE1311,37,8,8,3,128,5,42,28,4,16,52,30,33,3,2.5,2,3,0,1,11,1,0,1
PL525,75,10,10,4,40,5,22,46,4,29,66,28,46,6,7,5,8,1,1,8,2,1,3
PL963,30,12,8,4,200,5,50,25,2,12,37,12,32,2,4,1,1,1,1,2,1,1,2
XLSE1308,10,6,6,0,15,3,12,10,2,7,10,5,6,0,0,0,0,0,0,0,0,0,0
PL1291,12,5,3,2,33,4,29,17,2,10,14,10,11,0,0,0,0,0,0,0,0,0,0
PL1231,100,14,21,19,104,8,75,153,3,25,30,15,21,2,1,0,2,0,0,1,2,1,1
PL1227,11,1,7,2,12,1,11,23,1,7,4,5,12,2,1,0,0,0,1,1,0,0,1
PL922,6,2,2,3,4,0,7,2,1,2,4,3,1,2,0,0,0,0,0,0,0,0,1
XLSE1305,5,5,3,3,7,1,4,1,0,4,5,8,1,2,1,0,0,0,0,0,0,0,1
PL1255,8,2,3,3,8,0,5,1,0,2,8,7,1,0,0,0,0,0,0,0,1,0,1
PL1242,9,0,0,3,3,0,6,2,1,5,3,2,1,0,0,0,1,0,0,0,0,0,0
XLSE1298,0,0,2,1,5,0,4,2,1,5,9,5,1,0,0,0,0,0,0,0,0,0,0
PL1228,5,2,3,4,13,1,12,10,1,9,7,7,3,2,3,0,1,0,0,0,1,0,2
PL1240,68,15,8,10,59,3,27,15,2,10,31,12,26,3,0,0,1,0,0,0,1,0,0
PL543,71,14,14,10,66,2,54,21,3,25,41,18,18,0,1,1,2,0,1,0,2,0,2
PL1112,24,7,3,10,10,1,20,10,1,6,3,11,6,2,5,0,1,0,1,2,2,0,2
XLSE1304,0,0,0,6,42,3,22,20,2,10,16,6,7,1,1,1,0,0,0,0,1,0,0
XLSE1315,94,12,10,14,92,3,53,50,4,15,33,26,18,3,2,3,1,0,1,3,2,1,0
PL1130,0,0,0,1,15,3,16,10,2,7,10,5,5,0,0,0,0,0,0,0,0,0,0
PL629,28,10,7,5,56,4,51,45,1,14,30,12,22,2,1,2,2,0,1,2,2,1,2
XLSE1312,107,23,21,10,131,8,90,60,6,40,97,63,62,3,10,2,8,1,3,10,4,1,2
XLSE1306,22,6,6,9,55,1,38,7,2,18,10,4,10,3,0,0,1,0,0,1,1,0,0
PL1111,52,9,17,4,95,4,96,64,2,34,44,12,20,5,1,0,2,0,0,1,2,1,0
PL1188,41,8,10,9,50,1,52,32,1,14,20,6,7,1,0,2,0,0,2,1,3,0,0
PL1296,43,6,4,12,26,0,19,10,2,4,11,4,11,0,1,0,0,0,0,1,0,0,0
PL784,69,8,9,17,68,3,30,30,1,6,16,9,10,3,1,0,1,0,0,0,1,0,0
XLSE1307,0,0,0,0,15,3,15,10,2,7,10,5,5,0,0,0,0,0,0,0,0,0,0
PL1246,53,1,5,1,63,2,36,33,3,11,14,13,10,2,3,0,0,0,0,0,1,0,0
PL1237,55,10,7,16,58,1,12,6,1,5,8,7,5,1,1,0,1,0,0,0,2,0,1
PL514,56,11,16,19,30,6,25,11,1,14,35,22,28,2,4,4,3,1,1,14,4,1,3
